111,LGA,DCA,0800,0930,150,S
112,DCA,LGA,1030,1200,150,S
121,LGA,DCA,1300,1430,150,S
122,DCA,LGA,1530,1700,150,S
132,LGA,DCA,1800,1930,150,S
133,DCA,LGA,2030,2200,150,S
211,ATL,DCA,0800,1000,200,M
212,DCA,ATL,1100,1300,200,M
221,ATL,DCA,1400,1600,200,M
222,DCA,ATL,1700,1900,200,M
311,ATL,JAX,0700,0900,200,M
312,JAX,ATL,1000,1200,200,M
321,ATL,JAX,1300,1500,200,M
322,JAX,ATL,1600,1800,200,M
411,DEN,ATL,0700,1300,250,L
421,ATL,DEN,1400,1500,250,L
511,DEN,LAX,0800,0900,250,L
512,LAX,DEN,1000,1300,250,L
521,DEN,LAX,1400,1500,250,L
522,LAX,DEN,1600,1900,250,L
611,LAX,SFO,0800,0900,150,S
612,SFO,LAX,1000,1100,150,S
621,LAX,SFO,1200,1300,150,S
622,SFO,LAX,1400,1500,150,S
631,LAX,SFO,1600,1700,150,S
632,SFO,LAX,1800,1900,150,S

